candidate_id_68k,marks,gtot,allotted_JC_code,pair_bin_1,pair_bin_2,pair_bin_3,pair_bin_4,pair_bin_5,pair_bin_6,pair_bin_7,pair_bin_8,pair_bin_9,pair_bin_10,pair_bin_11,pair_bin_12,pair_bin_13,pair_bin_14,pair_bin_15,pair_bin_16,pair_bin_17,pair_bin_18,pair_bin_19,englishmarks_12,marks12th,dob_year,age,female,social_category,region,minority,religion,english_medium_10,english_medium_9,school_type_9,school_type_10,type,appliedforJC,result,address_pincode,address_mandalname,address_district,coll_code_went,got_into_JC,TSJC,intermediatecollegecode,sixdigitcode,coll_code,institution,is_income,maxtot,th_mrk,pr_mrk,tot_mrk
2010000012,65,784.0,,,,,,,,,,,,,,,,,,,,,90.0,78.4,2004.0,16.0,1.0,ST,MAHABOOBNAGAR,0.0,HINDU,0.0,0.0,GO,GO,,1.0,1,509202,BALANGAR,MAHBUBNAGAR,54018.0,0.0,0.0,,,54018.0,,Y,1000,070,0,070
2010000013,(null),650.0,,,,,,,,,,,,,,,,,,,,,82.0,65.0,2004.0,16.0,1.0,ST,MAHABOOBNAGAR,0.0,HINDU,1.0,1.0,GO,GO,,1.0,1,509202,BALANGAR,MAHBUBNAGAR,56234.0,0.0,0.0,,,56234.0,,Y,1000,060,0,060
2010000014,22.5,734.0,,,,,,,,,,,,,,,,,,,,,68.55713,73.4,2004.0,16.0,1.0,SC,MAHABOOBNAGAR,0.0,HINDU,0.0,0.0,GO,GO,Arts,1.0,1,509127,IEEJA,JOGULAMBA(GADWAL),56024.0,0.0,1.0,56024.0,505203,56024.0,,Y,1000,,,
2010000018,50.25,885.0,508402_BPC,508402_bpcx508801_mpc.1__marks_50_59,508402_bpcx509301_mpc.1__marks_50_59,508402_bpcx509302_bpc.1__marks_50_59,,,,,,,,,,,,,,,,,84.0,88.5,2005.0,15.0,1.0,SC,NALGONDA,0.0,HINDU,1.0,1.0,TSWR,TSWR,Science,1.0,1,508377,ANUMULA,NALGONDA,50018.0,1.0,1.0,50018.0,508401,50018.0,"tswrs/jc(g)
kondamallepally",Y,1000,096,0,096
2010000019,13.75,385.0,511901_MPC,,,,,,,,,,,,,,,,,,,,51.0,38.5,2005.0,15.0,0.0,SC,NALGONDA,0.0,HINDU,0.0,0.0,GO,GO,Science,1.0,F,508234,NADIGUDEM,SURYAPET,42008.0,1.0,1.0,42008.0,511901,42008.0,tswrs/jc(b) jangaon,Y,1000,061,0,061
2010000020,18.75,898.0,,,,,,,,,,,,,,,,,,,,,68.55713,89.8,2004.0,16.0,1.0,SC,NALGONDA,0.0,HINDU,1.0,1.0,TSWR,TSWR,Science,1.0,1,508234,NADIGUDEM,SURYAPET,50050.0,0.0,1.0,50050.0,509401,50050.0,,Y,1000,,,
2010000023,58.75,905.0,,,,,,,,,,,,,,,,,,,,,88.0,90.5,2005.0,15.0,0.0,BC,ADILABAD,0.0,HINDU,0.0,0.0,GO,GO,,1.0,1,504304,BOATH,ADILABAD,31211.0,0.0,0.0,,,31211.0,,Y,1000,090,0,090
2010000026,36.25,651.0,,,,,,,,,,,,,,,,,,,,,57.0,65.1,2005.0,15.0,0.0,SC,MAHABOOBNAGAR,0.0,HINDU,0.0,0.0,GO,GO,,1.0,1,509340,NAWABPET,MAHBUBNAGAR,56007.0,0.0,0.0,,,56007.0,,Y,1000,066,0,066
2010000028,7.5,684.0,,,,,,,,,,,,,,,,,,,,,68.55713,68.4,2005.0,15.0,1.0,BC,NALGONDA,0.0,HINDU,1.0,1.0,KGBV,KGBV,,1.0,1,508206,KODAD,SURYAPET,52261.0,0.0,0.0,,,52261.0,,Y,1000,,,
2010000029,40,775.0,,,,,,,,,,,,,,,,,,,,,87.0,77.5,2005.0,15.0,0.0,SC,MAHABOOBNAGAR,0.0,HINDU,1.0,1.0,GR,GR,,1.0,1,509105,PENTLAVELLI,NAGARKURNOOL,59326.0,0.0,0.0,,,59326.0,,Y,1000,040,0,040
