student_i,student_j,college_i,college_j,marks_i,marks_j,marks_diff,outcome_diff,weight
23435,12836,506302_bpc,506201_mpc,27.75,13.25,14.5,-10.0,0.8548303992988472
2733,10016,507602_bpc,508101_mpc,32.5,26.75,5.75,-1.0,0.722352005275088
33292,32508,505702_bpc,506002_bpc,25.0,14.25,10.75,-7.0,0.9472527477985114
7408,16059,512702_bpc,511701_mpc,38.75,33.75,5.0,5.0,0.7264132642326232
6957,22323,505501_mpc,505801_mpc,77.25,75.0,2.25,18.0,0.9745490084349312
3327,6514,509402_bpc,509302_bpc,72.0,65.25,6.75,3.0,0.9811695148165116
8761,32622,509104_cec,509501_mpc,21.25,20.25,1.0,10.0,0.8811532473977807
23314,2384,505802_bpc,505601_mpc,38.5,35.25,3.25,19.0,0.7314167329297024
22997,24806,513503_mec,513704_cec,17.5,11.5,6.0,40.0,0.9343444873559988
2958,7482,503201_mpc,503101_mpc,61.25,56.0,5.25,-11.0,0.918066202217589
8068,14656,504504_cec,504201_mpc,23.75,11.5,12.25,6.0,0.905292877560768
3456,1258,505701_mpc,505401_mpc,32.75,37.5,-4.75,-24.0,0.7754209833482206
24764,16037,514002_bpc,513602_bpc,13.75,10.5,3.25,-9.0,0.9653569192326359
11556,7534,501502_bpc,501602_bpc,37.75,41.75,-4.0,0.0,0.9222960660865174
14832,26567,507402_bpc,507501_mpc,62.75,88.75,-26.0,-1.0,0.8941307521452426
23861,24830,511304_cec,512104_cec,10.0,17.5,-7.5,-3.0,0.9389081961868497
27597,26158,504904_cec,504504_cec,28.75,33.75,-5.0,24.442871,0.7617812186682454
13914,5468,506502_bpc,506602_bpc,45.0,43.0,2.0,-4.0,0.8073719714501166
14320,34096,511402_bpc,511202_bpc,33.75,32.75,1.0,35.0,0.7935086808316965
2745,17479,503101_mpc,503202_bpc,25.5,15.0,10.5,-18.0,0.8470308186635049
3169,5737,502702_bpc,502802_bpc,24.0,32.5,-8.5,1.0,0.8695864297309718
21216,28437,512202_bpc,512802_bpc,16.25,6.5,9.75,23.0,0.8435223919037365
10784,5166,504001_mpc,504202_bpc,28.75,25.0,3.75,-5.0,0.8001837091849787
15883,28268,507302_bpc,506404_cec,9.0,1.0,8.0,-50.0,0.9636830799211992
22692,36507,514202_bpc,513704_cec,19.5,4.0,15.5,44.0,0.9160977056255584
30300,6492,506702_bpc,502505_hec,8.75,4.5,4.25,25.0,0.8866369515313213
18830,5196,509002_bpc,508401_mpc,26.0,28.0,-2.0,-5.0,0.8285971329492114
7907,16323,511201_mpc,511202_bpc,28.75,22.75,6.0,41.0,0.8847906783282328
18781,8236,514902_bpc,514602_bpc,45.25,37.5,7.75,7.0,0.8434510001945287
4081,4155,507602_bpc,507402_bpc,29.5,23.75,5.75,-6.0,0.9329524596356441
18633,22017,507202_bpc,507002_bpc,33.5,31.0,2.5,-6.0,0.9667078326211671
21900,23280,504001_mpc,503904_cec,35.5,31.5,4.0,-26.0,0.6398995889849346
5303,36499,508301_mpc,512104_cec,15.25,1.5,13.75,13.0,0.8871246232284125
23287,34909,508801_mpc,509301_mpc,32.75,32.5,0.25,1.0,0.80409126717678
18091,30871,511902_bpc,510102_bpc,47.5,50.0,-2.5,1.0,0.906639948989597
4773,1160,512201_mpc,511401_mpc,64.25,105.0,-40.75,-6.0,0.9050762520907598
293,15511,508402_bpc,509502_bpc,31.25,30.0,1.25,11.442871,0.8179955510066806
4658,16882,514502_bpc,514402_bpc,31.5,20.0,11.5,-16.0,0.8351935581195262
10417,21614,504702_bpc,504701_mpc,38.0,28.75,9.25,13.0,0.6619124844420105
3812,37212,506903_mec,507001_mpc,34.25,40.0,-5.75,-25.0,0.6254101246118955
22387,11392,502701_mpc,502504_cec,33.75,26.5,7.25,1.0,0.8353596484269564
6587,75,514501_mpc,514302_bpc,47.5,75.5,-28.0,-6.0,0.7515105931406741
37802,37149,506601_mpc,506404_cec,29.0,21.25,7.75,5.442871,0.8379785608805198
5920,5683,511201_mpc,511604_cec,28.75,34.5,-5.75,31.0,0.831743973441032
34677,20581,505802_bpc,505602_bpc,77.25,63.75,13.5,9.0,0.9667546913791906
5144,3772,507701_mpc,507801_mpc,24.0,14.75,9.25,-4.0,0.9580507414074693
21101,2821,513503_mec,514202_bpc,26.5,8.75,17.75,-2.0,0.8120123427024774
20033,25715,506702_bpc,507202_bpc,35.0,28.0,7.0,16.0,0.7605139397964896
5215,12412,514802_bpc,514701_mpc,44.75,48.25,-3.5,2.0,0.9058589542584995
13323,37634,508102_bpc,507702_bpc,31.25,26.25,5.0,10.0,0.852007655929997
5906,13191,508701_mpc,508702_bpc,43.75,41.75,2.0,-9.0,0.8100391895190356
17085,29302,513602_bpc,514202_bpc,46.75,41.5,5.25,-2.557129,0.9153878547453302
17557,32103,502101_mpc,502201_mpc,48.25,41.25,7.0,33.0,0.9052943400473836
20255,15344,502801_mpc,502004_cec,24.75,17.0,7.75,-15.0,0.8767672095832724
2788,3744,508701_mpc,509201_mpc,47.75,47.5,0.25,6.0,0.9326232802857922
1683,18213,501602_bpc,502202_bpc,40.0,47.5,-7.5,-14.0,0.706785397122197
4669,1171,507501_mpc,507601_mpc,30.25,17.5,12.75,-8.0,0.8086676044340528
2638,3872,508702_bpc,508302_bpc,31.5,33.75,-2.25,5.0,0.9672391667692674
2897,4806,509402_bpc,508702_bpc,22.75,22.75,0.0,-2.0,0.9016248758185839
2765,7386,503802_bpc,503101_mpc,52.5,63.0,-10.5,10.0,0.8461973903530781
10349,14308,508201_mpc,507401_mpc,68.5,90.25,-21.75,-4.0,0.9778190070708961
16989,23668,512201_mpc,512202_bpc,42.25,44.5,-2.25,15.0,0.7180767876961385
16413,10039,514501_mpc,514301_mpc,14.75,11.5,3.25,-6.0,0.9481629576229866
36786,25990,514402_bpc,512801_mpc,71.25,97.5,-26.25,-11.0,0.9172470372694568
19344,3731,501903_mec,502101_mpc,35.5,37.75,-2.25,-6.0,0.8029934965002494
17059,21715,506903_mec,506701_mpc,22.5,26.75,-4.25,-19.0,0.806685629153516
37005,23779,514201_mpc,513504_cec,18.75,6.25,12.5,18.0,0.9165397732796375
3329,5115,508101_mpc,508001_mpc,44.5,51.25,-6.75,5.0,0.8042639017852224
38788,25990,514001_mpc,512801_mpc,58.75,97.5,-38.75,3.0,0.8620246868398316
5272,17810,507202_bpc,506404_cec,27.5,20.0,7.5,-3.0,0.9038673945536887
5182,21957,507201_mpc,507301_mpc,22.5,23.0,-0.5,23.0,0.8997001919226701
3917,29858,509104_cec,508904_cec,21.25,11.5,9.75,-10.557129,0.8146274997968059
5204,4221,508702_bpc,508302_bpc,47.25,47.5,-0.25,-13.0,0.9284522514645516
38201,5351,505802_bpc,505902_bpc,33.25,38.75,-5.5,-18.442871,0.874671783469528
19896,25469,512601_mpc,512502_bpc,40.5,46.25,-5.75,8.0,0.8167629101017214
24151,21169,514802_bpc,514602_bpc,18.75,27.75,-9.0,5.0,0.9255413708316427
14824,16109,506702_bpc,506502_bpc,39.5,48.0,-8.5,0.0,0.7855082939332798
