student_i,student_j,college_i,college_j,stream,marks_i,marks_j,marks_diff,outcome_i,outcome_j,outcome_diff,weight,college_stream_i,college_stream_j
37237,3634,514202_bpc,508202_bpc,bpc,26.25,25.5,0.75,80.0,91.0,-11.0,0.9999774311198689,514202_bpc_bpc,508202_bpc_bpc
24886,15769,510102_bpc,514902_bpc,bpc,35.75,36.0,-0.25,54.0,79.0,-25.0,0.9949476814591149,510102_bpc_bpc,514902_bpc_bpc
7236,5780,506601_mpc,514901_mpc,mpc,27.5,26.75,0.75,67.0,61.0,6.0,0.9999668217236738,506601_mpc_mpc,514901_mpc_mpc
23794,38428,504701_mpc,511401_mpc,mpc,25.75,26.25,-0.5,86.0,78.0,8.0,0.999986377474869,504701_mpc_mpc,511401_mpc_mpc
24816,33912,513103_mec,501903_mec,mec,4.5,16.25,-11.75,62.0,81.0,-19.0,0.9998916524440221,513103_mec_mec,501903_mec_mec
3438,5095,512802_bpc,508702_bpc,bpc,31.75,31.25,0.5,67.0,78.0,-11.0,0.9998731835998218,512802_bpc_bpc,508702_bpc_bpc
16733,6884,504504_cec,511304_cec,cec,27.0,25.5,1.5,68.55713,64.0,4.557129,0.9999328464304281,504504_cec_cec,511304_cec_cec
11618,2314,514802_bpc,505702_bpc,bpc,34.0,33.25,0.75,68.0,84.0,-16.0,0.9986431106752038,514802_bpc_bpc,505702_bpc_bpc
31529,20381,514002_bpc,514302_bpc,bpc,9.25,8.75,0.5,40.0,72.0,-32.0,0.9999986323433311,514002_bpc_bpc,514302_bpc_bpc
6276,10531,503801_mpc,501601_mpc,mpc,22.5,22.75,-0.25,97.0,78.0,19.0,0.9999961985971303,503801_mpc_mpc,501601_mpc_mpc
16898,13225,513704_cec,507904_cec,cec,14.0,11.5,2.5,60.0,46.0,14.0,0.9999914918930399,513704_cec_cec,507904_cec_cec
12343,36580,514202_bpc,513202_bpc,bpc,35.0,35.25,-0.25,67.0,85.0,-18.0,0.9987345309589737,514202_bpc_bpc,513202_bpc_bpc
20188,21422,515002_bpc,514502_bpc,bpc,37.75,37.5,0.25,80.0,64.0,16.0,0.9761785072591591,515002_bpc_bpc,514502_bpc_bpc
7027,1808,503302_bpc,504402_bpc,bpc,30.0,29.0,1.0,74.0,76.0,-2.0,0.9998771107381423,503302_bpc_bpc,504402_bpc_bpc
9020,2525,513202_bpc,508702_bpc,bpc,37.5,37.5,0.0,91.0,87.0,4.0,0.998542069256415,513202_bpc_bpc,508702_bpc_bpc
22156,5766,507002_bpc,507602_bpc,bpc,25.0,26.0,-1.0,73.0,83.0,-10.0,0.9999729863029242,507002_bpc_bpc,507602_bpc_bpc
17079,2030,505301_mpc,505801_mpc,mpc,86.25,81.25,5.0,90.0,92.0,-2.0,0.9999980414811708,505301_mpc_mpc,505801_mpc_mpc
8444,10816,505902_bpc,509202_bpc,bpc,37.75,38.25,-0.5,81.0,81.0,0.0,0.9602005138971812,505902_bpc_bpc,509202_bpc_bpc
22088,8427,504001_mpc,501601_mpc,mpc,56.25,57.5,-1.25,94.0,86.0,8.0,0.9999930497973347,504001_mpc_mpc,501601_mpc_mpc
4663,17101,513503_mec,506903_mec,mec,17.5,13.25,4.25,80.0,75.0,5.0,0.9999678297753667,513503_mec_mec,506903_mec_mec
19169,12283,514801_mpc,506001_mpc,mpc,48.75,50.25,-1.5,87.0,90.0,-3.0,0.9999578783739538,514801_mpc_mpc,506001_mpc_mpc
23889,1996,502504_cec,505204_cec,cec,38.0,55.0,-17.0,80.0,95.0,-15.0,0.7604732225492099,502504_cec_cec,505204_cec_cec
6398,29928,505204_cec,511304_cec,cec,30.5,28.75,1.75,57.0,62.0,-5.0,0.9996274494927839,505204_cec_cec,511304_cec_cec
30929,28522,507202_bpc,512202_bpc,bpc,24.5,24.25,0.25,55.0,70.0,-15.0,0.9999912363973515,507202_bpc_bpc,512202_bpc_bpc
11475,33220,505102_bpc,503302_bpc,bpc,10.0,6.75,3.25,91.0,89.0,2.0,0.9999924963851498,505102_bpc_bpc,503302_bpc_bpc
31000,3605,509402_bpc,508102_bpc,bpc,30.0,30.0,0.0,84.0,93.0,-9.0,0.9999806399727084,509402_bpc_bpc,508102_bpc_bpc
4836,18144,503802_bpc,505902_bpc,bpc,40.0,39.75,0.25,87.0,74.0,13.0,0.999565933561683,503802_bpc_bpc,505902_bpc_bpc
6025,16544,505102_bpc,514702_bpc,bpc,35.0,35.25,-0.25,66.0,68.55713,-2.557129,0.9986680881016244,505102_bpc_bpc,514702_bpc_bpc
6329,30494,511604_cec,513504_cec,cec,15.0,16.5,-1.5,45.0,64.0,-19.0,0.9999948080123803,511604_cec_cec,513504_cec_cec
3093,20618,505701_mpc,502201_mpc,mpc,80.0,79.75,0.25,88.0,94.0,-6.0,0.9999996135160695,505701_mpc_mpc,502201_mpc_mpc
