student_i,student_j,college_i,college_j,stream,marks_i,marks_j,marks_diff,outcome_i,outcome_j,outcome_diff,weight,college_stream_i,college_stream_j
8417,6743,501602_bpc,501502_bpc,bpc,28.75,28.5,0.25,87.0,83.0,4.0,0.9785729010901938,501602_bpc_bpc,501502_bpc_bpc
3205,15882,503904_cec,501904_cec,cec,20.0,17.5,2.5,77.0,60.0,17.0,0.991033808661254,503904_cec_cec,501904_cec_cec
17404,28528,513201_mpc,514401_mpc,mpc,46.0,47.5,-1.5,66.0,91.0,-25.0,0.9691161796044286,513201_mpc_mpc,514401_mpc_mpc
10942,14841,514002_bpc,506602_bpc,bpc,41.25,42.25,-1.0,42.0,88.0,-46.0,0.9290249503448917,514002_bpc_bpc,506602_bpc_bpc
8108,14098,505302_bpc,505502_bpc,bpc,47.5,52.75,-5.25,81.0,87.0,-6.0,0.979415749896204,505302_bpc_bpc,505502_bpc_bpc
10488,29085,505901_mpc,511901_mpc,mpc,33.75,32.75,1.0,91.0,69.0,22.0,0.9147987504595034,505901_mpc_mpc,511901_mpc_mpc
4975,30792,515001_mpc,509301_mpc,mpc,37.5,40.0,-2.5,88.0,93.0,-5.0,0.9179237952076642,515001_mpc_mpc,509301_mpc_mpc
1606,38786,512902_bpc,505802_bpc,bpc,34.75,33.75,1.0,91.0,95.0,-4.0,0.9077598225285864,512902_bpc_bpc,505802_bpc_bpc
38090,3889,514801_mpc,514901_mpc,mpc,28.0,31.25,-3.25,77.0,70.0,7.0,0.9745933137469142,514801_mpc_mpc,514901_mpc_mpc
38115,22627,503201_mpc,509501_mpc,mpc,26.25,25.25,1.0,72.0,75.0,-3.0,0.9741861863551545,503201_mpc_mpc,509501_mpc_mpc
39303,5787,504202_bpc,511702_bpc,bpc,22.5,20.0,2.5,87.0,75.0,12.0,0.9838461284460698,504202_bpc_bpc,511702_bpc_bpc
15450,32014,514902_bpc,511802_bpc,bpc,66.25,66.25,0.0,90.0,96.0,-6.0,0.9956113173453363,514902_bpc_bpc,511802_bpc_bpc
2754,19736,505102_bpc,505702_bpc,bpc,43.25,46.25,-3.0,94.0,61.0,33.0,0.977475399799846,505102_bpc_bpc,505702_bpc_bpc
15570,22878,508903_mec,511603_mec,mec,26.25,21.25,5.0,62.0,42.0,20.0,0.9692742253794231,508903_mec_mec,511603_mec_mec
32800,33205,513601_mpc,511701_mpc,mpc,37.0,35.25,1.75,85.0,58.0,27.0,0.9565798489746731,513601_mpc_mpc,511701_mpc_mpc
15186,14859,513202_bpc,506802_bpc,bpc,14.75,13.0,1.75,87.0,83.0,4.0,0.9924859990659387,513202_bpc_bpc,506802_bpc_bpc
4295,19103,513504_cec,502504_cec,cec,30.0,27.5,2.5,64.0,72.0,-8.0,0.9521311822917307,513504_cec_cec,502504_cec_cec
14824,17103,506702_bpc,506802_bpc,bpc,39.5,37.25,2.25,91.0,91.0,0.0,0.9286427623453103,506702_bpc_bpc,506802_bpc_bpc
24339,38784,511902_bpc,514702_bpc,bpc,70.0,70.0,0.0,42.0,88.0,-46.0,0.9964030170377942,511902_bpc_bpc,514702_bpc_bpc
28092,8710,511802_bpc,514702_bpc,bpc,43.75,45.25,-1.5,78.0,68.55713,9.442871,0.9531856543854396,511802_bpc_bpc,514702_bpc_bpc
10417,2402,504702_bpc,508102_bpc,bpc,38.0,37.5,0.5,91.0,94.0,-3.0,0.8961449505272564,504702_bpc_bpc,508102_bpc_bpc
