JC_code,n_allotted,n_with_marks,cutoff_marks,pct_above,pct_below_or_equal
501502_bpc,77,77,103.75,0.0,100.0
506404_cec,58,57,99.5,0.0,100.0
507904_cec,54,54,108.75,0.0,100.0
512104_cec,52,52,128.75,0.0,100.0
502004_cec,40,39,96.25,0.0,100.0
504701_mpc,39,39,120.0,0.0,100.0
506702_bpc,39,38,110.25,0.0,100.0
506002_bpc,39,38,107.25,0.0,100.0
505402_bpc,39,39,107.25,0.0,100.0
504401_mpc,39,39,120.0,0.0,100.0
505802_bpc,39,39,107.25,0.0,100.0
509401_mpc,39,39,111.25,0.0,100.0
501602_bpc,39,39,103.75,0.0,100.0
507801_mpc,39,38,97.5,0.0,100.0
507402_bpc,39,39,97.5,0.0,100.0
508702_bpc,38,38,111.25,0.0,100.0
505302_bpc,38,38,107.25,0.0,100.0
502005_hec,38,37,96.75,0.0,100.0
508701_mpc,38,37,111.25,0.0,100.0
501802_bpc,38,38,103.75,0.0,100.0
502802_bpc,38,38,112.5,0.0,100.0
508102_bpc,38,38,97.5,0.0,100.0
503302_bpc,38,38,111.25,0.0,100.0
504503_mec,38,38,120.0,0.0,100.0
505801_mpc,38,38,107.25,0.0,100.0
502702_bpc,38,38,112.5,0.0,100.0
508201_mpc,38,38,97.5,0.0,100.0
508501_mpc,37,37,111.25,0.0,100.0
508402_bpc,37,37,111.25,0.0,100.0
502801_mpc,37,35,112.5,0.0,100.0
